Body,Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,04-May-15,16517127-11144533,-252651.26,Southern Electric Plc,Trade Supplier,Assets & Commissioning,Street Lighting Energy,Street lighting Energy
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,04-May-15,16516663-11144532,-229391.88,Southern Electric Plc,Trade Supplier,Assets & Commissioning,Street Lighting Energy,Street lighting Energy
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,20-May-15,16512429-11219428,-208977.93,Southern Electric Plc,Trade Supplier,Assets & Commissioning,Street Lighting Energy,Street lighting Energy
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,16951304-11205426,-201144,Cambridge City Council,Other Public Bodies,LGSS Managed,Cambridge Central Library,Business rates
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,20-May-15,17034771-11219435,-174578.36,Southern Electric Plc,Trade Supplier,Assets & Commissioning,Street Lighting Energy,Street lighting Energy
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,12-May-15,16239469-11186612,-166424.42,South Cambridgeshire District Council,Other Public Bodies,Assets & Commissioning,SCDC Waste disposal,Recycling claims - District Councils
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,04-May-15,16516041-11144531,-161481.78,Southern Electric Plc,Trade Supplier,Assets & Commissioning,Street Lighting Energy,Street lighting Energy
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,04-May-15,16515535-11144530,-138620.78,Southern Electric Plc,Trade Supplier,Assets & Commissioning,Street Lighting Energy,Street lighting Energy
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,04-May-15,16514161-11144529,-116166.9,Southern Electric Plc,Trade Supplier,Assets & Commissioning,Street Lighting Energy,Street lighting Energy
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,22-May-15,16602643-11235505,-31655.7,Swarco Traffic Ltd,Company,Traffic Management & Road Safety,IHMC Operations,Capital WIP - roads  -  Construction cost
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,04-May-15,16107216-11145266,-27013.34,Guidant Group,Trade Supplier,1- Commissioning - Service Director,AIS Project,Pay - Agency Staff
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,19-May-15,15172919-11218422,-16104,Care Afloat,Care Establishment,S&C,Placements - Social Care,Agency Placements - Out County
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,20-May-15,16519333-11219425,-11708.32,Southern Electric Plc,Trade Supplier,Assets & Commissioning,Parish & District Council costs,Street lighting Energy
